id,label
28945,97
1387,36
21578,42
21069,11
12437,58
15753,86
14687,90
24409,88
25130,3
5269,17
13751,57
15087,40
22937,79
659,94
23022,32
444,25
7386,10
17157,68
2165,15
15197,61
28860,81
267,31
17923,25
21483,25
17039,10
27350,13
13538,33
24942,51
24066,83
5460,23
16406,14
25656,48
13899,32
3550,63
23772,17
10589,31
20109,63
21908,0
12752,24
27719,74
7475,43
1645,10
12622,80
936,37
16085,23
25424,38
14108,70
20826,24
9708,46
11311,81
8794,2
22644,25
27890,66
13250,65
3029,87
4622,74
23983,28
8591,25
18288,56
8048,84
21283,51
23405,7
28952,8
8787,97
9946,69
17104,85
23218,37
3235,64
21573,38
28153,49
14673,56
7470,92
12188,30
4135,60
124,10
11571,60
21964,23
20732,18
25526,39
7459,32
9468,76
5482,84
12465,26
3758,2
8171,82
6331,86
345,46
8313,94
13455,21
6293,42
26864,32
17176,32
7617,64
3132,39
22426,26
23459,0
14959,80
4182,78
7909,31
1920,99
20893,32
22489,86
24269,59
17270,4
26447,61
23515,49
23492,55
7,2
20642,75
17210,71
27554,20
17405,60
6435,48
27342,37
2897,35
4565,59
13175,23
20256,28
11744,78
21920,41
18356,66
12051,68
17348,16
3956,7
704,60
8996,75
11330,16
5468,17
28870,82
1143,5
3434,30
1487,73
25850,12
5597,23
19497,63
4781,14
22289,19
8791,73
13300,13
13272,71
466,73
28773,49
871,80
12473,12
22034,28
13777,46
17264,32
12237,97
8843,47
12125,0
23679,61
590,71
1814,13
27328,64
2778,92
800,69
23382,59
15247,31
27669,57
25193,16
5985,41
21801,94
22017,94
22789,61
13131,94
20600,94
14971,61
22924,77
16107,40
1895,71
20969,16
13049,27
10443,94
9049,2
24099,2
4421,10
18047,18
25441,88
22633,60
5745,91
19432,46
23142,74
15824,53
15966,37
20716,81
26491,48
21569,79
20014,85
9126,82
9938,51
9656,81
22587,15
7671,73
10378,59
12124,27
26718,26
8241,98
19682,93
13002,72
28994,14
20677,43
3850,61
17632,7
16053,58
7152,58
16692,49
15,97
28129,75
28983,63
14368,79
1789,73
11464,55
23257,87
12642,74
3102,81
4236,25
1918,48
15927,68
22369,56
23444,25
28399,48
28005,29
12980,36
21329,39
18752,44
13996,21
7624,25
11756,81
24170,94
27240,28
244,76
1634,28
7932,73
18221,50
18661,25
19490,24
16769,27
3158,50
12374,22
8976,60
850,14
1532,34
21198,18
13016,74
29085,81
25451,83
18696,53
11059,55
1591,54
4168,87
6787,31
20429,6
22394,13
3656,75
14431,6
25464,81
11179,63
7142,22
8932,39
11006,97
19523,2
28987,77
16545,74
4174,45
15648,55
7412,57
5295,75
5224,10
9524,77
5170,32
15168,46
23590,64
13615,39
1383,47
6474,88
28948,23
6711,35
19822,5
5662,79
20462,92
20489,81
20571,49
2601,13
13913,68
7015,5
4090,63
22751,0
14610,74
27158,95
25619,10
19583,33
16642,55
4342,93
6162,35
22046,47
271,26
6426,7
13193,33
13982,30
5661,8
15472,12
19331,59
15184,85
26133,91
23957,53
28392,79
14488,44
17652,89
4498,35
8770,45
2259,13
8245,74
16699,12
4164,34
7053,82
2941,54
24584,86
25647,17
18407,7
6982,38
1093,88
6241,30
14113,34
3644,67
16299,73
886,92
21205,87
21761,78
16952,93
5112,69
19928,35
23527,15
12795,82
19627,9
24966,54
10193,54
5290,96
7743,15
23185,32
27965,4
4217,82
22475,53
28759,34
13985,0
5750,87
10186,9
20284,40
7175,28
12075,68
10563,45
7140,9
1670,91
6154,97
28653,57
24826,3
7308,26
7055,36
977,81
21688,99
18513,67
23839,90
13380,15
17741,77
15607,76
18426,53
25696,73
13921,24
2203,91
15548,63
29007,55
8712,57
17196,92
22662,80
7627,37
11553,39
3419,8
10578,99
13906,55
17854,69
18512,86
26707,7
21167,18
18039,74
15579,93
12516,80
3861,99
24241,44
17574,33
7921,24
3417,71
24740,16
7421,54
21943,88
20140,72
10335,98
14700,31
11432,41
5160,7
11878,30
27147,74
19024,35
14308,29
19381,72
18484,63
11737,28
24054,57
4457,57
2996,57
7530,86
18638,61
6359,21
19384,20
14936,14
8616,1
27379,17
2403,3
3835,15
11276,0
10672,1
20262,69
2708,91
14896,88
14444,33
13507,86
8706,5
17962,20
6239,65
19851,70
24371,85
2253,35
2662,20
9758,25
3410,77
11353,93
8026,4
13995,79
15374,51
9744,54
2385,47
14019,30
24848,21
6423,81
26132,88
3727,96
2618,92
14558,99
20514,77
28055,84
4999,69
1676,48
28670,71
20197,25
9319,12
27933,73
8881,6
76,55
3963,28
8740,48
4844,15
19126,1
16829,31
9853,38
11848,68
17313,47
7867,41
19980,64
27730,9
6441,51
5746,29
1712,35
7300,76
465,79
22807,43
27015,27
4288,82
16253,57
9494,33
13378,59
9173,5
28340,64
25057,81
4279,67
9958,72
12466,96
23625,83
5743,93
25977,57
16179,88
4005,83
15405,48
11196,54
14077,51
8017,19
7422,28
16474,71
20778,82
8063,84
23167,82
3114,87
15187,4
25791,30
340,9
3528,57
1771,77
25699,87
301,25
9330,49
17271,3
6089,32
9793,68
16635,96
1344,40
4007,63
17113,78
11529,0
21726,96
8093,25
17875,31
7062,31
10331,50
27907,84
4530,50
12612,56
24968,41
4272,38
24627,61
22350,55
5459,1
13297,16
26206,69
28260,61
10848,61
23376,87
27416,5
15201,42
1392,45
20626,63
24523,0
12573,11
2506,34
24081,23
9257,19
16030,99
4863,88
25916,49
4815,1
16070,55
6094,22
28070,47
17858,4
21185,57
23114,69
22862,10
22803,25
26394,75
3429,92
6516,99
8318,32
13929,36
27493,52
23170,20
6059,17
12740,85
3985,32
22320,43
16321,23
10531,71
4449,63
25598,31
23020,0
6329,49
22851,86
10633,48
8022,41
25385,53
13198,74
28765,2
23423,92
25919,28
27991,9
13556,38
2087,56
8666,87
14457,51
25798,32
19222,85
19487,35
9426,85
14972,63
15499,7
15319,60
10177,71
20131,22
24304,56
3483,26
7147,50
7309,38
8862,78
20281,36
3997,42
26193,52
24668,34
27209,30
6306,9
15541,94
20471,60
22874,21
8781,10
27440,77
28156,31
19906,81
5973,69
22051,65
27011,28
24795,62
18551,80
25663,80
7543,11
8690,59
11235,15
5083,21
28804,19
26693,41
1269,95
4375,36
2138,42
4038,7
18730,86
27141,76
5292,42
11705,89
15199,34
27028,49
13133,2
10948,11
28883,58
8315,52
4976,49
13494,50
15803,81
11519,33
7747,79
10908,31
20834,88
6317,49
25682,36
2537,95
11439,44
15879,90
26174,95
20288,50
7883,36
988,81
17922,85
15699,43
14377,3
16941,86
6778,61
5635,96
3562,47
20561,6
24011,81
17123,73
21157,8
22733,92
10061,46
1406,59
22499,27
5389,68
6718,90
22570,21
265,30
4590,67
15384,29
7243,88
17820,81
24882,37
19375,80
4585,78
15047,5
1030,34
16136,63
6743,92
18659,24
7389,33
1241,44
16377,82
16094,77
1990,18
18017,18
7246,0
13837,91
28941,25
24019,21
14886,52
14446,82
2255,48
21677,8
15427,82
8782,72
7757,32
28984,20
21299,5
16062,85
21666,7
2906,81
19725,43
11859,7
28731,26
8117,70
15826,34
24149,49
16630,86
15174,45
10877,84
25334,83
4047,38
1493,68
893,38
7342,30
4687,88
7407,47
27707,8
6815,54
27845,55
320,12
927,49
24376,55
7893,38
20663,2
849,42
28940,34
7968,39
29002,34
18573,96
23649,63
3203,1
5817,35
10574,45
4820,16
25025,80
18127,13
15912,47
3339,86
22550,26
8960,81
20126,30
11842,85
2261,43
15133,13
13129,90
8940,33
8793,90
23542,84
15242,71
26714,24
5616,11
24465,67
5595,23
22206,41
11512,97
6705,26
20152,10
23815,7
6084,91
19229,95
23809,54
17234,71
24598,57
18096,25
4127,84
15977,42
10438,75
16302,91
2239,12
20652,23
4720,21
7603,83
20110,3
20772,82
12714,4
26631,10
1946,31
12413,87
21593,42
12391,40
12931,39
2210,38
27404,94
10995,59
5756,75
1417,68
14208,77
19125,49
9110,94
13637,36
16590,24
12358,21
29049,50
1209,42
5653,34
21770,1
10051,86
10883,23
22232,82
23561,27
1878,79
25828,29
8528,72
10295,3
10807,82
4876,32
8512,0
3447,53
2648,62
6431,58
2334,47
22763,25
433,88
18000,10
11696,28
16624,35
14256,50
23902,82
10058,85
25813,60
14247,10
21506,5
4002,3
14305,4
18078,34
2349,25
13938,69
8070,21
24712,87
14156,27
5620,2
23857,8
5052,77
28477,15
12895,92
12055,0
2751,84
4114,28
20010,76
11417,29
12614,91
28298,6
26985,10
14629,3
19584,35
8590,92
28895,85
8779,62
14854,89
5116,43
28299,99
17173,27
2551,11
21566,77
26273,92
8957,87
309,21
16714,22
19644,18
27911,44
16680,26
8454,5
12620,80
25825,34
13238,55
23684,11
3198,34
25950,21
22379,96
24628,23
28523,26
13239,11
11475,78
1278,64
17895,4
26242,87
12528,95
20221,60
17919,32
4306,62
4008,97
15816,94
19224,1
7138,34
11248,87
14967,89
20356,31
12673,51
27234,86
17469,98
9529,14
3650,68
23727,12
21703,11
28730,57
28347,92
8461,51
13107,91
7786,87
15432,45
5504,17
4575,88
19232,35
3456,82
9646,13
2508,41
11657,28
14086,91
12133,74
7034,88
18686,35
16332,13
5565,15
2988,58
19480,63
7583,42
22844,46
4967,84
1491,11
24648,8
23115,69
15310,74
8046,48
14934,77
16526,57
16971,69
27035,76
21562,29
3807,65
17503,0
26984,2
28230,7
28508,10
9542,52
8305,0
28112,97
25667,43
2950,55
10475,67
6266,50
14699,26
15725,61
3863,16
18612,52
12676,93
26627,88
17028,68
279,92
8492,81
19886,80
27920,57
26827,56
6827,33
18628,96
21551,11
7531,67
27929,49
14464,93
14465,5
4314,1
8364,32
2719,30
508,43
9634,61
3714,27
3838,24
8142,51
28815,66
9083,59
3746,11
21181,86
12255,31
22338,21
16987,16
15466,87
7207,44
18598,31
255,45
12735,45
348,7
25286,45
28761,97
6745,30
23812,26
337,42
12628,58
14167,21
5222,62
22831,74
1149,81
19859,29
15236,96
7831,25
17926,72
7298,66
29056,49
248,42
9165,7
3200,46
16622,68
7553,55
27712,91
14794,58
12550,4
16798,77
27969,64
13268,5
11612,66
7280,5
8920,51
11093,88
17042,41
20211,23
8287,77
28146,80
281,38
6773,5
28166,21
21375,0
12922,77
296,66
28154,5
20276,47
19568,38
12229,68
7734,69
9027,50
2753,14
6481,9
9613,59
24005,46
13663,69
18976,49
13839,46
6943,88
16086,31
16607,32
21193,52
8317,1
25347,26
22784,63
6121,35
12591,66
993,22
17140,30
19766,92
19033,65
11012,60
23680,87
15925,96
2684,63
21900,99
8021,28
25191,3
26990,46
10205,7
9492,4
1330,49
1292,62
11382,67
21211,68
9321,88
25557,60
5588,97
6853,82
18197,79
17816,41
717,5
14860,54
11589,79
1667,11
28601,21
6166,5
28114,80
16190,18
25531,91
13843,13
898,56
22421,29
26175,49
13561,73
27580,53
13285,8
26650,60
9947,43
6026,4
2825,83
26360,49
10495,75
560,14
16643,87
7068,86
3700,57
14022,85
26131,14
23897,20
20421,5
9254,77
17263,7
10493,22
1897,24
28662,32
14623,45
19009,0
12848,51
16489,59
2498,39
3525,34
3615,81
11776,13
5128,41
26735,0
10334,44
11627,69
23060,2
8189,4
2752,38
10782,41
21535,59
26991,18
7784,27
26655,8
23138,81
15205,3
24570,54
4905,51
14643,59
5832,0
1107,51
14749,54
7692,48
15778,38
22559,25
470,22
28397,62
11423,28
6980,26
19908,77
5221,0
24572,25
1454,64
1251,48
19664,40
10629,67
4646,78
10421,9
4443,36
24370,37
450,3
15602,35
18604,11
26700,15
27899,1
29023,94
19194,35
8060,8
13081,9
547,40
10784,67
23849,46
12923,48
26331,18
7684,46
23155,19
11651,33
14466,98
19476,88
11660,79
13779,60
12877,63
12240,44
19004,88
13075,56
27882,64
9688,2
1309,80
5855,24
3330,83
22181,16
18840,79
24032,49
12571,11
2142,72
1285,0
20706,56
5942,89
17693,61
20488,63
17425,94
865,63
14605,97
20378,30
2492,43
1966,67
5070,47
16440,85
15843,87
4494,29
20332,15
20022,54
2468,94
22030,10
17086,7
26865,66
10790,7
23144,85
4832,77
11413,78
20198,59
2872,2
24345,79
16896,53
7483,97
13121,60
2517,69
27705,66
11487,28
20729,31
2211,66
14887,58
2168,15
19977,83
19051,26
27272,7
3195,32
1996,98
18142,72
4769,46
16539,43
16960,4
26620,16
7347,81
23821,97
906,59
4875,9
26195,15
502,17
14625,48
23704,11
1227,14
24238,65
17397,4
20104,43
21134,10
2548,60
964,3
5913,94
19238,68
4586,29
5061,63
16586,73
8820,9
8951,79
2341,22
14535,52
14046,43
19292,93
18418,80
20930,52
2759,91
20483,91
27178,5
28431,58
24196,79
9147,65
27149,77
25713,94
28092,11
26672,67
10079,41
2175,77
3775,23
1993,92
3229,56
5648,41
28192,94
26441,16
7495,37
9748,20
13759,2
18941,48
23651,8
24524,94
14205,39
3227,8
15121,89
11765,87
17238,21
27830,30
5031,3
10146,65
2026,30
11680,27
18415,83
20517,32
16268,0
10841,91
28585,27
20196,64
21287,53
8517,56
28919,20
4743,45
3887,77
9690,87
25861,59
4126,81
2944,95
20868,17
9847,70
2985,76
9970,3
18724,24
18820,94
15876,33
16967,44
13207,3
25119,61
2696,88
3501,93
21676,42
18572,11
15796,8
5673,43
1631,56
19955,37
24893,59
11994,42
16271,69
8502,97
21652,48
15400,59
19979,31
18586,87
17551,29
21974,51
11743,28
15028,53
11172,85
14358,55
28369,74
1034,83
16965,78
25097,5
5236,2
11099,92
6742,32
27058,12
7598,26
10357,56
13157,53
20632,35
6808,57
20111,24
8347,87
17439,32
20248,35
15276,64
13409,93
1644,97
4962,1
27813,53
3901,51
8788,14
3970,33
25948,22
26949,14
12021,12
18265,99
601,58
4430,97
17087,79
22092,13
9776,87
7172,83
5976,85
16088,3
21555,57
10972,95
15621,58
12884,91
2910,66
21873,9
14222,11
28697,59
26866,42
26346,59
16098,21
9629,3
10947,98
9657,4
409,23
7131,94
5104,6
22188,80
664,32
22191,0
25037,0
514,85
1366,61
9868,99
18419,4
20339,63
19913,32
13119,54
9532,72
10506,11
12504,7
4161,55
22054,60
23469,41
9314,41
6945,6
18329,97
3993,41
9696,69
17934,40
7477,14
779,30
21844,89
27074,81
10755,18
14516,0
17126,88
225,79
731,30
11410,18
19904,92
7955,85
21558,82
3230,35
10208,53
24454,85
21699,82
6812,18
15158,79
25408,86
21463,76
28545,7
2301,21
6704,81
1078,40
4390,22
7866,72
23584,55
1772,28
17716,51
24532,72
14719,59
9017,8
17648,55
3343,96
2909,33
19061,80
2519,16
1570,63
1082,31
9379,40
28651,50
2572,72
27565,58
10292,32
17152,4
21751,30
6364,13
21981,3
21270,59
4362,97
17654,62
18574,83
13745,43
18259,43
26164,64
16738,19
8002,83
20347,34
2189,68
21767,70
21733,8
22577,5
20105,85
11268,74
1799,86
3587,46
7100,7
15782,2
1029,68
7634,22
16913,66
14772,13
26654,19
23844,9
5799,41
21407,52
25203,95
6018,2
22291,51
25376,50
10399,97
16561,25
21631,96
10865,71
6055,49
16480,73
16366,29
17178,64
3832,0
21613,78
13841,26
22500,65
8684,71
28667,72
3762,48
10729,38
12779,24
1061,7
15769,88
16702,4
923,15
20094,38
9932,94
1637,62
7796,34
26384,33
323,43
23241,40
3871,57
2469,77
8403,97
12712,75
9247,96
11428,65
24607,33
15689,11
17993,49
5791,41
15515,79
13519,25
23096,42
18733,37
11218,99
17187,88
24125,77
23143,53
13481,51
13731,59
9418,95
12306,7
12801,50
3769,42
15200,71
18769,49
10617,89
18688,31
23656,70
23610,59
22521,87
21928,88
25847,26
3959,92
21954,20
21822,25
17215,18
21641,27
4551,89
13215,74
21654,15
2256,73
5401,26
3181,49
8925,99
27344,98
28775,67
2785,8
2122,81
971,58
16290,59
25540,93
23655,6
1273,45
12867,28
14096,86
